time,channel,ROI.ID,LP,Probe,mean_Mean
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_1.1,LP40,MS18,1504.5773
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_1.2,LP40,MS18,1135.9589
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_1.3,LP40,MS18,1606.3522
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_1.4,LP40,MS18,1762.48
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.1,LP40,MS18,620.3804
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.2,LP40,MS18,1514.1858
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.3,LP40,MS18,777.6084
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.4,LP40,MS18,437.8735
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_3.1,LP40,MS18,188.9349
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_3.2,LP40,MS18,905.7833
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_3.3,LP40,MS18,278.7148
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_4.1,LP40,MS18,824.2102
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_4.2,LP40,MS18,1162.2056
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_4.3,LP40,MS18,408.4016
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_4.4,LP40,MS18,356.3182
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_4.5,LP40,MS18,758.1984
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_4.6,LP40,MS18,814.171
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_3_1.1,LP40,MS18,1264.2323
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_3_1.2,LP40,MS18,977.0201
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_3_1.3,LP40,MS18,1437.1628
0,C1-EGFP-NES channel,Unc405_279uM_MS18_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_3_1.4,LP40,MS18,975.5417
