uM;RFU
1.968;387.403
1.968;388.358
1.968;388.874
1.968;551.721
1.968;596.481
1.968;250.703
1.968;697.108
1.968;664.067
1.968;676.227
1.968;700.22
1.23;176.495
1.23;176.138
1.23;184.894
1.23;364.66
1.23;363.597
1.23;379.962
1.23;447.578
1.23;461.036
1.23;554.913
0.984;177
0.984;188.971
0.984;172
0.984;235.514
0.984;319
0.984;166
0.984;463.961
0.984;440.171
0.984;504.161
0.0984;4.838
0.0984;4.865
0.0984;6.565
0.0984;8.174
0.0984;5.194
0.0984;6.584
0.0984;46.381
0.0984;64.01
0.0984;67.213
0;0.629
0;0.582
0;0.565
0;0.513
0;0.537
